Date,Type,Link
2020-08-29 15:16:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6704968486793412608
2020-08-28 20:18:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6701108189804466176
2020-08-26 11:21:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6704035371644256256
2020-08-21 12:48:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6701018030509453312
2020-08-16 20:35:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699764985440043008
2020-08-16 12:35:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6700148867989569536
2020-08-16 03:58:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6699082555511189504
2020-08-04 00:40:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695615883370491904
2020-08-04 00:36:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6696180455902916608
2020-08-02 17:06:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695636215263227905
2020-08-01 08:19:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695183274152611840
2020-08-01 08:13:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6695053996383596544
2020-08-01 08:08:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694865320676593664
2020-07-31 21:56:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694020848065527808
2020-07-30 11:00:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6694315844907868160
2020-07-26 23:16:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6693036393876217856
2020-07-25 17:09:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692727811960111104?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6692727811960111104%2C6692797260176211968%29
2020-07-25 12:02:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692702540577943552
2020-07-25 11:56:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692727811960111104
2020-07-25 09:42:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692435372531617792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6692435372531617792%2C6692453615107354624%29
2020-07-25 09:38:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6692451621814755329
